,Relationship,full_community_id_src,name_src,Ar_trg,AtomicNumber_trg,Density_trg,MeltingPoint_trg,Symbol_trg,full_community_id_trg,name_trg
256,IS_COMPOSED_OF,730,C84200,118.71,50,5.75,231.9,Sn,326,TIN
257,IS_COMPOSED_OF,730,C84200,63.546,29,8.96,1085,Cu,319,COPPER
258,IS_COMPOSED_OF,730,C84200,32.605,16,*,112.8,S,943,SULFUR 
259,IS_COMPOSED_OF,730,C84200,26.981539,13,2.7,660.3,Al,322,ALUMINUM
260,IS_COMPOSED_OF,730,C84200,58.6934,28,8.902,1455,Ni,327,NICKEL
261,IS_COMPOSED_OF,730,C84200,28.0855,14,2.33,1414,Si,333,SILICON
262,IS_COMPOSED_OF,730,C84200,55.845,26,7.874,1538,Fe,321,IRON
263,IS_COMPOSED_OF,731,C84400,65.38,30,7.13,419.5,Zn,328,ZINC
264,IS_COMPOSED_OF,731,C84400,118.71,50,5.75,231.9,Sn,326,TIN
265,IS_COMPOSED_OF,731,C84400,207.2,82,11.29,327.5,Pb,329,LEAD
266,IS_COMPOSED_OF,731,C84400,63.546,29,8.96,1085,Cu,319,COPPER
267,IS_COMPOSED_OF,731,C84400,58.6934,28,8.902,1455,Ni,327,NICKEL
268,IS_COMPOSED_OF,731,C84400,118.71,50,5.75,231.9,Sn,326,TIN
269,IS_COMPOSED_OF,731,C84400,207.2,82,11.29,327.5,Pb,329,LEAD
270,IS_COMPOSED_OF,731,C84400,65.38,30,7.13,419.5,Zn,328,ZINC
271,IS_COMPOSED_OF,731,C84400,121.76,51,6.631,630.5,Sb,331,ANTIMONY
272,IS_COMPOSED_OF,731,C84400,63.546,29,8.96,1085,Cu,319,COPPER
273,IS_COMPOSED_OF,731,C84400,26.981539,13,2.7,660.3,Al,322,ALUMINUM
274,IS_COMPOSED_OF,731,C84400,55.845,26,7.874,1538,Fe,321,IRON
275,IS_COMPOSED_OF,731,C84400,30.973762,15,*,44.1,P,942,PHOSPHORUS 
276,IS_COMPOSED_OF,731,C84400,32.605,16,*,112.8,S,943,SULFUR 
277,IS_COMPOSED_OF,731,C84400,28.0855,14,2.33,1414,Si,333,SILICON
278,IS_COMPOSED_OF,732,C84410,118.71,50,5.75,231.9,Sn,326,TIN
279,IS_COMPOSED_OF,732,C84410,207.2,82,11.29,327.5,Pb,329,LEAD
280,IS_COMPOSED_OF,732,C84410,65.38,30,7.13,419.5,Zn,328,ZINC
281,IS_COMPOSED_OF,732,C84410,208.9804,83,10.022,271.4,Bi,332,BISMUTH
282,IS_COMPOSED_OF,732,C84410,65.38,30,7.13,419.5,Zn,328,ZINC
283,IS_COMPOSED_OF,732,C84410,63.546,29,8.96,1085,Cu,319,COPPER
284,IS_COMPOSED_OF,732,C84410,118.71,50,5.75,231.9,Sn,326,TIN
285,IS_COMPOSED_OF,732,C84410,58.6934,28,8.902,1455,Ni,327,NICKEL
286,IS_COMPOSED_OF,732,C84410,28.0855,14,2.33,1414,Si,333,SILICON
287,IS_COMPOSED_OF,732,C84410,26.981539,13,2.7,660.3,Al,322,ALUMINUM
288,IS_COMPOSED_OF,732,C84410,207.2,82,11.29,327.5,Pb,329,LEAD
289,IS_COMPOSED_OF,733,C84500,207.2,82,11.29,327.5,Pb,329,LEAD
290,IS_COMPOSED_OF,733,C84500,63.546,29,8.96,1085,Cu,319,COPPER
291,IS_COMPOSED_OF,733,C84500,65.38,30,7.13,419.5,Zn,328,ZINC
292,IS_COMPOSED_OF,733,C84500,118.71,50,5.75,231.9,Sn,326,TIN
293,IS_COMPOSED_OF,733,C84500,118.71,50,5.75,231.9,Sn,326,TIN
